soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
土壤-30311,0.7019043,0.697937,-1,0,0.6958008,0.6995646,-1,0,0.9990923,0,0,0,0,0,0,0,0,0.8422186,1.004724,0.9635896,0.9303105,0.9256871,0.9348629,0.9279673,0.9499407,0.9709845,15.1,4.67,0.848043,86.436,228.5,153.5,30
土壤-30320,0.7011922,0.6982422,-1,0,0.7109578,0.6962077,-1,0,0.9990765,0,0,0,0,0,0,0,0,0.8131588,1.025385,0.9819569,0.9425454,0.9245549,0.9319306,0.9275197,0.9551721,0.9794784,23.9,4.06,1.2599496,106.24425,243,134.5,30
土壤-30363,0.7087199,0.6999715,-1,0,0.7050578,0.6907145,-1,0,0.9990578,0,0,0,0,0,0,0,0,0.8040189,0.9890051,0.9430073,0.9049032,0.907272,0.9106399,0.906746,0.9319693,0.9550289,23,6.41,1.938384,119.5698,91.3,40,30
土壤-30402,0.7037354,0.7007853,-1,0,0.6985474,0.7061768,-1,0,#NAME?,0,0,0,0,0,0,0,0,0.8444801,1.000308,0.9609532,0.9284974,0.935846,0.9438925,0.9418735,0.9633298,0.9839036,20.7,6.26,1.4887866,239.8599,165.4,124.5,30
土壤-20306,0.6951904,0.6958008,-1,0,0.6970215,0.6970215,-1,0,0.9993083,0,0,0,0,0,0,0,0,0.7896281,0.9650707,0.916607,0.8772021,0.8689032,0.8756615,0.8686745,0.8909426,0.9129658,9.5,4.81,0.8722728,217.89075,147.6,279,20
土壤-203061,0.7011922,0.6948853,-1,0,0.6813558,0.695699,-1,0,0.9991667,0,0,0,0,0,0,0,0,0.7923533,0.9687774,0.9190361,0.8802854,0.8724104,0.8785183,0.8722182,0.8950874,0.9168613,9.5,4.81,0.8722728,217.89075,147.6,279,20
土壤-20309,0.7009888,0.6996663,-1,0,0.6960042,0.6986491,-1,0,0.9991902,0,0,0,0,0,0,0,0,0.6533287,0.7770056,0.7403075,0.7185217,0.7424873,0.7482098,0.7392353,0.7587432,0.778042,23.9,5.38,1.3461,164.2284,161.4,314.5,20
土壤-20311,0.7029216,0.6968181,-1,0,0.7036336,0.696106,-1,0,0.999068,0,0,0,0,0,0,0,0,0.743222,0.9083063,0.8589355,0.823913,0.8211354,0.8276886,0.8207068,0.8404671,0.860403,15.1,4.67,0.848043,86.436,228.5,153.5,20
土壤-20313,0.6982422,0.6855265,-1,0,0.7006836,0.6984456,-1,0,0.9991104,0,0,0,0,0,0,0,0,0.7547568,0.9498536,0.898011,0.8574232,0.856882,0.8594705,0.8520212,0.8776299,0.9013732,22.3,5.5,0.6542046,141.8991,155,282.5,20
土壤-20315,0.6962585,0.70755,-1,0,0.6985474,0.6985474,-1,0,0.9992459,0,0,0,0,0,0,0,0,0.8293527,1.009203,0.9651752,0.9265506,0.9063587,0.9156279,0.9100258,0.9332858,0.9561464,22,5.87,1.5197469,191.23965,176.2,59.25,20
土壤-20317,0.7030233,0.7025146,-1,0,0.7009888,0.7023112,-1,0,#NAME?,0,0,0,0,0,0,0,0,0.7957035,0.9893003,0.9414069,0.901204,0.891278,0.8972532,0.8920199,0.9171917,0.9404626,19.6,6.08,0.8386203,146.58105,218.7,122.5,20
土壤-20320,0.6976318,0.6975301,-1,0,0.7006836,0.6986491,-1,0,0.9990904,0,0,0,0,0,0,0,0,0.7548331,0.9781599,0.9252324,0.880681,0.8634865,0.8684856,0.8639974,0.8913352,0.9155737,23.9,4.06,1.2599496,106.24425,243,134.5,20
土壤-20356,0.6960449,0.6987305,-1,0,0.7010498,0.6960449,-1,0,0.9990897,0,0,0,0,0,0,0,0,0.7599056,0.9458452,0.8950531,0.8557777,0.8597338,0.8630882,0.8584991,0.8823608,0.9051508,21.4,5.61,1.2330276,109.4856,29.4,49,20
土壤-20357,0.6985474,0.6968181,-1,0,0.7007853,0.6951904,-1,0,0.9991857,0,0,0,0,0,0,0,0,0.7285095,0.9427637,0.8884279,0.8449934,0.8488352,0.8494666,0.8485039,0.8737608,0.896697,27,5.64,1.5426306,146.9412,24.5,62.5,20
土壤-20358,0.6959025,0.6982422,-1,0,0.7033284,0.7002767,-1,0,0.9991328,0,0,0,0,0,0,0,0,0.6753857,0.87194,0.8171744,0.7767944,0.7840626,0.7836685,0.7810191,0.8045214,0.8266191,21.8,5.85,1.3932135,110.9262,179,84,20
土壤-20359,0.7002767,0.6914266,-1,0,0.6983439,0.6988525,-1,0,0.9991392,0,0,0,0,0,0,0,0,0.6494241,0.8638062,0.806492,0.7639663,0.7734778,0.7718163,0.7692876,0.7942286,0.8173763,21.1,5.25,1.130724,118.1292,162.4,258,20
土壤-20360,0.6994629,0.7023112,-1,0,0.7000732,0.7007853,-1,0,0.9990979,0,0,0,0,0,0,0,0,0.8180959,0.9383913,0.8985533,0.8710588,0.8763006,0.8841236,0.8757315,0.8939,0.9121307,29.3,5.98,1.6543569,225.4539,78.7,160.25,20
土壤-20363,0.6983439,0.6984456,-1,0,0.7013957,0.7036336,-1,0,0.9990908,0,0,0,0,0,0,0,0,0.6600977,0.8274524,0.7766464,0.7415675,0.7541399,0.7536514,0.7502316,0.7713524,0.7909484,23,6.41,1.938384,119.5698,91.3,40,20
土壤-20368,0.6973267,0.6943766,-1,0,0.6942749,0.6975301,-1,0,0.9990849,0,0,0,0,0,0,0,0,0.8512461,0.998729,0.9582585,0.9244387,0.9231935,0.9283168,0.9202927,0.9432387,0.9648431,28.7,5.55,0.9126558,106.6044,181.8,86,20
土壤-20398,0.7025146,0.6974284,-1,0,0.700175,0.6998698,-1,0,0.9991338,0,0,0,0,0,0,0,0,0.7837571,0.9816787,0.9331872,0.8939473,0.8892341,0.8956888,0.8896261,0.9154797,0.9396373,14.3,5.04,1.2195666,89.3172,87.9,87.5,20
土壤-20401,0.705363,0.7028198,-1,0,0.7015991,0.6965129,-1,0,0.9991754,0,0,0,0,0,0,0,0,0.6126948,0.8067919,0.7522635,0.7140258,0.7299346,0.7285272,0.7245543,0.7483192,0.7702861,13.5,5.02,1.0149594,109.4856,67.6,40.5,20
土壤-20402,0.6982422,0.7009888,-1,0,0.6991577,0.7058716,-1,0,0.9992648,0,0,0,0,0,0,0,0,0.7256435,0.8852811,0.835546,0.8016779,0.8147253,0.8182442,0.8179957,0.8372779,0.8567725,20.7,6.26,1.4887866,239.8599,165.4,124.5,20
土壤-20404,0.6970215,0.7095337,-1,0,0.710144,0.6942749,-1,0,0.9991447,0,0,0,0,0,0,0,0,0.618745,0.7869815,0.7401791,0.7097515,0.727801,0.729584,0.7250938,0.7474755,0.768537,41.4,5.63,2.167221,121.7307,87,70.5,20
土壤-20405,0.6993611,0.7030233,-1,0,0.7017009,0.696106,-1,0,0.9991332,0,0,0,0,0,0,0,0,0.70376,0.9331524,0.8753101,0.8285097,0.8189647,0.8221593,0.8180666,0.8447883,0.8695778,13.1,5.06,0.9180402,128.2134,182.4,140.5,20
土壤-20406,0.7061768,0.7004802,-1,0,0.7003784,0.6959025,-1,0,0.9992357,0,0,0,0,0,0,0,0,0.6741768,0.8519483,0.8039221,0.7694385,0.7809345,0.7853196,0.7788961,0.802282,0.8241508,13.7,5.54,0.982653,98.6811,92.5,88,20
土壤-15306,0.6973267,0.6964111,-1,0,0.7014974,0.6952922,-1,0,0.999118,0,0,0,0,0,0,0,0,0.7231015,0.8924527,0.8395214,0.8013555,0.7965485,0.8010629,0.7944511,0.8147639,0.8347809,9.5,4.81,0.8722728,217.89075,147.6,279,15
土壤-15309,0.7030029,0.6896973,-1,0,0.6984863,0.6971436,-1,0,0.9991623,0,0,0,0,0,0,0,0,0.6314101,0.7405728,0.7093269,0.6914839,0.7200153,0.7257986,0.7168436,0.7351547,0.753283,23.9,5.38,1.3461,164.2284,161.4,314.5,15
土壤-15311,0.6970215,0.7003784,-1,0,0.6970215,0.696106,-1,0,0.9991213,0,0,0,0,0,0,0,0,0.6916615,0.8416145,0.7946151,0.7632076,0.7649833,0.7709566,0.7641456,0.7817395,0.7995411,15.1,4.67,0.848043,86.436,228.5,153.5,15
土壤-15313,0.6959025,0.68868,-1,0,0.6988525,0.6997681,-1,0,0.9991395,0,0,0,0,0,0,0,0,0.689812,0.8742969,0.820836,0.7819924,0.786714,0.7877255,0.7800702,0.803566,0.8256479,22.3,5.5,0.6542046,141.8991,155,282.5,15
土壤-15315,0.7070923,0.6958008,-1,0,0.702006,0.6962077,-1,0,0.9991435,0,0,0,0,0,0,0,0,0.8138459,0.9924673,0.9456468,0.9064425,0.8871513,0.8954123,0.8903313,0.9131235,0.934945,22,5.87,1.5197469,191.23965,176.2,59.25,15
土壤-15317,0.7018026,0.7024129,-1,0,0.7032267,0.6963094,-1,0,0.9992502,0,0,0,0,0,0,0,0,0.7346022,0.9265466,0.872148,0.8314569,0.8248566,0.8286849,0.8230244,0.8467967,0.8689186,19.6,6.08,0.8386203,146.58105,218.7,122.5,15
土壤-15320,0.7079061,0.6921387,-1,0,0.7050578,0.6958008,-1,0,0.9990853,0,0,0,0,0,0,0,0,0.7090985,0.9345304,0.8764873,0.8300281,0.8148348,0.8180745,0.813673,0.8403793,0.8639814,23.9,4.06,1.2599496,106.24425,243,134.5,15
土壤-15356,0.7192993,0.68573,-1,0,0.7040405,0.6913249,-1,0,0.9991086,0,0,0,0,0,0,0,0,0.6953591,0.8636072,0.8136465,0.7788304,0.7892947,0.7914658,0.7864761,0.80782,0.8287918,21.4,5.61,1.2330276,109.4856,29.4,49,15
土壤-15357,0.7025146,0.695699,-1,0,0.7014974,0.7014974,-1,0,0.9990593,0,0,0,0,0,0,0,0,0.6586123,0.849984,0.7965677,0.7583426,0.7711144,0.7703151,0.7690904,0.7917769,0.8125196,27,5.64,1.5426306,146.9412,24.5,62.5,15
土壤-15358,0.711263,0.6982422,-1,0,0.6983439,0.6917318,-1,0,0.9991491,0,0,0,0,0,0,0,0,0.6067632,0.7741873,0.7253008,0.6922457,0.7087553,0.7085117,0.7054541,0.725738,0.7449942,21.8,5.85,1.3932135,110.9262,179,84,15
土壤-15359,0.703125,0.6920369,-1,0,0.6991577,0.7007853,-1,0,0.9991518,0,0,0,0,0,0,0,0,0.5993838,0.7954082,0.7413015,0.7030249,0.7186314,0.7167966,0.714242,0.7369708,0.7580902,21.1,5.25,1.130724,118.1292,162.4,258,15
土壤-15360,0.6984456,0.6917318,-1,0,0.7004802,0.6954956,-1,0,0.9991133,0,0,0,0,0,0,0,0,0.7630743,0.8756162,0.8367807,0.8110547,0.8179267,0.8246075,0.8165382,0.8327948,0.8492623,29.3,5.98,1.6543569,225.4539,78.7,160.25,15
土壤-15363,0.7043457,0.7056682,-1,0,0.7039388,0.7025146,-1,0,0.9991027,0,0,0,0,0,0,0,0,0.61699,0.7665012,0.7201437,0.6904638,0.7093289,0.7087097,0.7049847,0.7244905,0.7426209,23,6.41,1.938384,119.5698,91.3,40,15
土壤-15368,0.7028198,0.6953939,-1,0,0.6978353,0.7033284,-1,0,0.9990571,0,0,0,0,0,0,0,0,0.798445,0.9497591,0.9031793,0.8671384,0.8661281,0.868054,0.8597617,0.8820431,0.9032379,28.7,5.55,0.9126558,106.6044,181.8,86,15
土壤-15398,0.6917318,0.6994629,-1,0,0.7027181,0.6984456,-1,0,0.9991812,0,0,0,0,0,0,0,0,0.7376186,0.9301293,0.8779958,0.8391113,0.8379155,0.8430713,0.8362948,0.8608021,0.884276,14.3,5.04,1.2195666,89.3172,87.9,87.5,15
土壤-15401,0.7011922,0.7004802,-1,0,0.6996663,0.6920369,-1,0,0.99915,0,0,0,0,0,0,0,0,0.5730079,0.7430856,0.6941085,0.6627604,0.6868221,0.6850675,0.6804901,0.7025448,0.7228861,13.5,5.02,1.0149594,109.4856,67.6,40.5,15
土壤-15402,0.7018026,0.6983439,-1,0,0.7045491,0.6969197,-1,0,0.9991022,0,0,0,0,0,0,0,0,0.6637553,0.8078495,0.7625574,0.7327776,0.7530035,0.7562561,0.7562684,0.7731851,0.7909172,20.7,6.26,1.4887866,239.8599,165.4,124.5,15
土壤-15404,0.703125,0.7007853,-1,0,0.7097371,0.7002767,-1,0,#NAME?,0,0,0,0,0,0,0,0,0.6007313,0.7541045,0.7107897,0.6839628,0.7082009,0.7101462,0.7054934,0.7266171,0.7466918,41.4,5.63,2.167221,121.7307,87,70.5,15
